"(Intercept)","SexM","age_gp16-75","age_gp75+","ur6_2016_nameOther Urban Areas","ur6_2016_nameAccessible Small Towns","ur6_2016_nameRemote Small Towns","ur6_2016_nameAccessible Rural","ur6_2016_nameRemote Rural","simd2020_sc_quintile2","simd2020_sc_quintile3","simd2020_sc_quintile4","simd2020_sc_quintile5","n_risk_gps1","n_risk_gps2","n_risk_gps3-4","n_risk_gps5+"
2.65638458602132e-05,-1.64557691627505e-06,-2.05456089002094e-05,-1.99467325511806e-05,-2.70540450489633e-06,-2.14679353126775e-06,-2.17890979779392e-06,-2.1170977014438e-06,-1.76387685384771e-06,-4.09711568659524e-06,-4.10641225627911e-06,-4.50727817891893e-06,-5.0278378847968e-06,-1.03469932994534e-06,-8.31099905881523e-07,-9.4181149684914e-07,-1.11777461618881e-06
-1.64557691627505e-06,3.60009147134216e-06,-1.76350893295709e-07,1.2639224342308e-07,-3.88858832734795e-08,-3.76787303400718e-08,-6.06761380090903e-08,-4.57183532142894e-08,-6.913904314226e-08,2.76132660807627e-09,-5.61115313102232e-09,-1.5949869118161e-08,-2.12692108939678e-08,-5.43298446925839e-09,-6.40697023991185e-08,-1.26031450793231e-07,-9.5139903340984e-08
-2.05456089002094e-05,-1.76350893295709e-07,2.13008849063461e-05,2.03147554529371e-05,5.74050489852423e-07,5.88791466769252e-07,5.42031955735024e-07,5.78364176344176e-07,5.32780322596667e-07,5.64678917385702e-08,9.57822317790729e-08,4.1196118323458e-07,5.11096444212054e-07,-4.36870000887905e-07,-7.02651544738987e-07,-5.91356301893735e-07,-4.27344680972817e-07
-1.99467325511806e-05,1.2639224342308e-07,2.03147554529371e-05,2.88718383809968e-05,2.87054126964385e-07,2.16855689655779e-07,-3.3830014939129e-08,1.67535149007989e-07,1.04240644006756e-07,-1.93387394431914e-07,-2.75932525339688e-07,-4.7200884190133e-08,-5.39022502788275e-08,-1.0776136896776e-06,-3.28672700509667e-06,-5.48987806493391e-06,-7.03437048217965e-06
-2.70540450489633e-06,-3.88858832734795e-08,5.74050489852423e-07,2.87054126964385e-07,5.05337911199256e-06,2.45282483156141e-06,2.61240305324154e-06,2.47411697143766e-06,2.62431750866504e-06,-4.39336357070123e-07,-4.51390421882781e-07,-3.4310693532222e-07,3.89505666576138e-07,-1.84977653778689e-07,-1.7152759226331e-07,-7.98917971688413e-08,7.82143755540804e-09
-2.14679353126775e-06,-3.76787303400718e-08,5.88791466769252e-07,2.16855689655779e-07,2.45282483156141e-06,1.27668852979762e-05,2.69242636916214e-06,2.65543597441891e-06,2.8394144250901e-06,-7.73157724651191e-07,-1.16845073916367e-06,-1.3714636675813e-06,-6.38980303277874e-07,-1.51181201011844e-07,-1.52956968649607e-07,-7.94334864632499e-08,-3.79010987215762e-08
-2.17890979779392e-06,-6.06761380090903e-08,5.42031955735024e-07,-3.3830014939129e-08,2.61240305324154e-06,2.69242636916214e-06,2.24893304151884e-05,2.78297337462918e-06,3.266773388718e-06,-7.74213657661036e-07,-2.14048301637241e-06,-1.19079709531609e-06,2.50496057765436e-07,-1.95749892793881e-07,-2.3257269311229e-07,-1.60887096974204e-07,-7.18434334243959e-08
-2.1170977014438e-06,-4.57183532142894e-08,5.78364176344176e-07,1.67535149007989e-07,2.47411697143766e-06,2.65543597441891e-06,2.78297337462918e-06,1.30771068496588e-05,2.96041073322499e-06,-7.45686820974201e-07,-1.39333684687946e-06,-1.61019636312411e-06,-5.77315744975214e-07,-5.02456367156614e-08,-1.13147100323127e-08,7.95897168294172e-08,1.61776146304698e-07
-1.76387685384771e-06,-6.913904314226e-08,5.32780322596667e-07,1.04240644006756e-07,2.62431750866504e-06,2.8394144250901e-06,3.266773388718e-06,2.96041073322499e-06,2.28539696770116e-05,-8.41250706817222e-07,-2.61470942851825e-06,-2.2405472194208e-06,-2.61031428879321e-07,-3.81410160028474e-07,-4.75646582446816e-07,-4.3556544970178e-07,-4.58226134231678e-07
-4.09711568659524e-06,2.76132660807627e-09,5.64678917385702e-08,-1.93387394431914e-07,-4.39336357070123e-07,-7.73157724651191e-07,-7.74213657661036e-07,-7.45686820974201e-07,-8.41250706817222e-07,8.73511895163962e-06,4.46163722932939e-06,4.45889375639069e-06,4.30942451707562e-06,1.94058920708593e-07,3.44941525261612e-07,4.40829317289639e-07,4.6747713075874e-07
-4.10641225627911e-06,-5.61115313102232e-09,9.57822317790729e-08,-2.75932525339688e-07,-4.51390421882781e-07,-1.16845073916367e-06,-2.14048301637241e-06,-1.39333684687946e-06,-2.61470942851825e-06,4.46163722932939e-06,9.35246285238831e-06,4.76256296332848e-06,4.41222075718703e-06,3.55804989785157e-07,6.01922587200227e-07,7.907121160771e-07,8.63508316687959e-07
-4.50727817891893e-06,-1.5949869118161e-08,4.1196118323458e-07,-4.7200884190133e-08,-3.4310693532222e-07,-1.3714636675813e-06,-1.19079709531609e-06,-1.61019636312411e-06,-2.2405472194208e-06,4.45889375639069e-06,4.76256296332848e-06,9.46807310997297e-06,4.49397033166466e-06,4.72248738061524e-07,8.04111751873238e-07,1.03741911169476e-06,1.18738748745354e-06
-5.0278378847968e-06,-2.12692108939678e-08,5.11096444212054e-07,-5.39022502788275e-08,3.89505666576138e-07,-6.38980303277874e-07,2.50496057765436e-07,-5.77315744975214e-07,-2.61031428879321e-07,4.30942451707562e-06,4.41222075718703e-06,4.49397033166466e-06,9.12279220093596e-06,5.47958196488516e-07,9.11922630644087e-07,1.18957259301706e-06,1.38516954228985e-06
-1.03469932994534e-06,-5.43298446925839e-09,-4.36870000887905e-07,-1.0776136896776e-06,-1.84977653778689e-07,-1.51181201011844e-07,-1.95749892793881e-07,-5.02456367156614e-08,-3.81410160028474e-07,1.94058920708593e-07,3.55804989785157e-07,4.72248738061524e-07,5.47958196488516e-07,5.61044507984664e-06,1.55357843386984e-06,1.72294879240636e-06,1.84577527937793e-06
-8.31099905881523e-07,-6.40697023991185e-08,-7.02651544738987e-07,-3.28672700509667e-06,-1.7152759226331e-07,-1.52956968649607e-07,-2.3257269311229e-07,-1.13147100323127e-08,-4.75646582446816e-07,3.44941525261612e-07,6.01922587200227e-07,8.04111751873238e-07,9.11922630644087e-07,1.55357843386984e-06,1.79605978752027e-05,2.78506431033421e-06,3.26028238953085e-06
-9.4181149684914e-07,-1.26031450793231e-07,-5.91356301893735e-07,-5.48987806493391e-06,-7.98917971688413e-08,-7.94334864632499e-08,-1.60887096974204e-07,7.95897168294172e-08,-4.3556544970178e-07,4.40829317289639e-07,7.907121160771e-07,1.03741911169476e-06,1.18957259301706e-06,1.72294879240636e-06,2.78506431033421e-06,3.71647062355782e-05,4.89267569935941e-06
-1.11777461618881e-06,-9.5139903340984e-08,-4.27344680972817e-07,-7.03437048217965e-06,7.82143755540804e-09,-3.79010987215762e-08,-7.18434334243959e-08,1.61776146304698e-07,-4.58226134231678e-07,4.6747713075874e-07,8.63508316687959e-07,1.18738748745354e-06,1.38516954228985e-06,1.84577527937793e-06,3.26028238953085e-06,4.89267569935941e-06,0.000201728757595421
